store_id,product_id,current_stock,last_updated
STR004,PRD021,178,2026-08-29
STR004,PRD022,219,2026-08-29
STR004,PRD023,143,2026-08-29
STR004,PRD024,147,2026-08-29
STR004,PRD025,189,2026-08-29
STR004,PRD026,86,2026-08-29
STR004,PRD027,148,2026-08-29
STR004,PRD028,195,2026-08-29
STR004,PRD029,210,2026-08-29
STR004,PRD030,22,2026-08-29
STR004,PRD031,118,2026-08-29
STR004,PRD032,96,2026-08-29
STR004,PRD033,193,2026-08-29
STR004,PRD034,82,2026-08-29
STR004,PRD035,119,2026-08-29
STR004,PRD036,166,2026-08-29
STR004,PRD037,106,2026-08-29
STR004,PRD038,178,2026-08-29
STR004,PRD039,116,2026-08-29
STR004,PRD040,150,2026-08-29
STR004,PRD041,171,2026-08-29
STR004,PRD042,142,2026-08-29
STR004,PRD043,184,2026-08-29
STR004,PRD044,150,2026-08-29
STR004,PRD045,218,2026-08-29
STR004,PRD046,219,2026-08-29
STR004,PRD047,112,2026-08-29
STR004,PRD048,80,2026-08-29
STR004,PRD049,208,2026-08-29
STR004,PRD050,136,2026-08-29
STR004,PRD051,148,2026-08-29
STR004,PRD052,216,2026-08-29
STR004,PRD053,182,2026-08-29
STR004,PRD054,216,2026-08-29
STR004,PRD055,208,2026-08-29
